machine_id,machine_type,timestamp,cycle,temperature_C,vibration_mm_s,pressure_psi,current_A,rpm,health_state,RUL,failure
M001,CNC_Lathe,2025-01-08 09:00:00,33,60.85,2.088,101.91,16.63,1439.2,Healthy,266,0
M001,CNC_Lathe,2025-01-08 10:00:00,34,61.68,2.241,101.0,17.6,1436.1,Healthy,265,0
M001,CNC_Lathe,2025-01-08 11:00:00,35,60.81,1.989,102.12,16.43,1437.5,Healthy,264,0
M001,CNC_Lathe,2025-01-08 12:00:00,36,62.14,2.088,100.13,15.91,1420.1,Healthy,263,0
M001,CNC_Lathe,2025-01-08 13:00:00,37,62.52,2.117,99.53,16.59,1432.5,Healthy,262,0
M001,CNC_Lathe,2025-01-08 14:00:00,38,60.78,2.111,101.48,16.06,1432.1,Healthy,261,0
M001,CNC_Lathe,2025-01-08 15:00:00,39,62.23,2.204,102.98,15.96,1412.7,Healthy,260,0
M001,CNC_Lathe,2025-01-08 16:00:00,40,62.18,2.147,102.17,18.06,1435.3,Healthy,259,0
M001,CNC_Lathe,2025-01-08 17:00:00,41,62.8,2.191,102.37,16.39,1438.1,Healthy,258,0
M001,CNC_Lathe,2025-01-08 18:00:00,42,60.89,2.072,100.67,16.55,1461.5,Healthy,257,0
M001,CNC_Lathe,2025-01-08 19:00:00,43,59.8,2.164,98.98,16.33,1443.1,Healthy,256,0
M001,CNC_Lathe,2025-01-08 20:00:00,44,61.73,1.988,100.32,16.79,1415.8,Healthy,255,0
M001,CNC_Lathe,2025-01-08 21:00:00,45,61.88,2.1,100.42,17.37,1436.3,Healthy,254,0
M001,CNC_Lathe,2025-01-08 22:00:00,46,59.64,2.114,100.4,16.86,1414.9,Healthy,253,0
M001,CNC_Lathe,2025-01-08 23:00:00,47,61.55,2.146,102.69,16.04,1421.7,Healthy,252,0
M001,CNC_Lathe,2025-01-09 00:00:00,48,61.19,2.03,104.04,16.68,1407.9,Healthy,251,0
M001,CNC_Lathe,2025-01-09 01:00:00,49,62.58,2.308,102.94,15.91,1419.5,Healthy,250,0
M001,CNC_Lathe,2025-01-09 02:00:00,50,62.93,2.025,102.06,16.83,1412.9,Healthy,249,0
M001,CNC_Lathe,2025-01-09 03:00:00,51,61.6,1.772,99.86,16.41,1408.0,Healthy,248,0
M001,CNC_Lathe,2025-01-09 04:00:00,52,63.3,1.953,100.74,16.57,1448.4,Healthy,247,0
M001,CNC_Lathe,2025-01-09 05:00:00,53,60.23,2.212,101.41,16.12,1433.7,Healthy,246,0
M001,CNC_Lathe,2025-01-09 06:00:00,54,61.86,2.036,101.5,16.36,1428.5,Healthy,245,0
M001,CNC_Lathe,2025-01-09 07:00:00,55,62.33,2.254,99.54,17.37,1397.5,Healthy,244,0
M001,CNC_Lathe,2025-01-09 08:00:00,56,61.51,2.155,101.82,16.27,1423.6,Healthy,243,0
M001,CNC_Lathe,2025-01-09 09:00:00,57,61.17,2.037,102.67,16.66,1416.4,Healthy,242,0
M001,CNC_Lathe,2025-01-09 10:00:00,58,62.56,2.126,102.61,16.77,1414.3,Healthy,241,0
M001,CNC_Lathe,2025-01-09 11:00:00,59,61.1,2.17,102.31,16.51,1428.5,Healthy,240,0
M001,CNC_Lathe,2025-01-09 12:00:00,60,62.94,2.037,102.22,16.43,1423.5,Healthy,239,0
M001,CNC_Lathe,2025-01-09 13:00:00,61,62.76,2.178,102.62,17.04,1427.1,Healthy,238,0
M001,CNC_Lathe,2025-01-09 14:00:00,62,62.35,2.065,101.88,16.46,1428.2,Healthy,237,0
M001,CNC_Lathe,2025-01-09 15:00:00,63,62.26,2.014,104.53,16.11,1408.6,Healthy,236,0
M001,CNC_Lathe,2025-01-09 16:00:00,64,62.82,2.175,102.33,16.77,1426.6,Healthy,235,0
M001,CNC_Lathe,2025-01-09 17:00:00,65,60.77,2.103,100.38,16.91,1424.6,Healthy,234,0
M001,CNC_Lathe,2025-01-09 18:00:00,66,60.84,2.064,102.01,16.29,1414.4,Healthy,233,0
M001,CNC_Lathe,2025-01-09 19:00:00,67,61.91,2.12,100.63,16.33,1430.2,Healthy,232,0
M001,CNC_Lathe,2025-01-09 20:00:00,68,60.22,1.955,100.32,16.43,1431.4,Healthy,231,0
M001,CNC_Lathe,2025-01-09 21:00:00,69,63.14,2.181,101.16,16.51,1411.7,Healthy,230,0
M001,CNC_Lathe,2025-01-09 22:00:00,70,61.65,2.067,101.88,16.18,1434.6,Healthy,229,0
M001,CNC_Lathe,2025-01-09 23:00:00,71,63.2,2.085,102.0,16.79,1420.7,Healthy,228,0
M001,CNC_Lathe,2025-01-10 00:00:00,72,61.89,2.097,101.54,16.21,1427.1,Healthy,227,0
M001,CNC_Lathe,2025-01-10 01:00:00,73,62.16,2.241,102.83,17.38,1415.3,Healthy,226,0
M001,CNC_Lathe,2025-01-10 02:00:00,74,62.54,2.114,104.68,16.19,1414.2,Healthy,225,0
M001,CNC_Lathe,2025-01-10 03:00:00,75,61.06,1.883,100.61,16.21,1429.0,Healthy,224,0
M001,CNC_Lathe,2025-01-10 04:00:00,76,62.01,2.283,102.82,16.29,1413.3,Healthy,223,0
M001,CNC_Lathe,2025-01-10 05:00:00,77,62.16,1.964,104.14,16.99,1419.7,Healthy,222,0
M001,CNC_Lathe,2025-01-10 06:00:00,78,59.95,2.231,101.22,17.01,1402.8,Healthy,221,0
M001,CNC_Lathe,2025-01-10 07:00:00,79,61.06,2.096,101.47,16.34,1436.1,Healthy,220,0
M001,CNC_Lathe,2025-01-10 08:00:00,80,60.6,2.081,101.58,16.72,1437.4,Healthy,219,0
M001,CNC_Lathe,2025-01-10 09:00:00,81,60.54,1.942,103.31,16.65,1415.5,Healthy,218,0
M001,CNC_Lathe,2025-01-10 10:00:00,82,63.22,2.107,103.16,16.54,1457.7,Healthy,217,0
M001,CNC_Lathe,2025-01-10 11:00:00,83,63.42,2.071,102.85,16.77,1447.3,Healthy,216,0
M001,CNC_Lathe,2025-01-10 12:00:00,84,60.7,2.164,102.98,15.81,1409.0,Healthy,215,0
M001,CNC_Lathe,2025-01-10 13:00:00,85,59.63,2.069,102.47,17.12,1427.9,Healthy,214,0
M001,CNC_Lathe,2025-01-10 14:00:00,86,63.29,1.958,98.84,16.49,1432.5,Healthy,213,0
M001,CNC_Lathe,2025-01-10 15:00:00,87,61.63,1.889,101.26,15.99,1436.8,Healthy,212,0
M001,CNC_Lathe,2025-01-10 16:00:00,88,62.03,2.002,100.62,16.09,1425.8,Healthy,211,0
M001,CNC_Lathe,2025-01-10 17:00:00,89,62.62,1.997,102.15,16.3,1414.9,Healthy,210,0
M001,CNC_Lathe,2025-01-10 18:00:00,90,61.56,1.992,100.56,16.04,1456.2,Healthy,209,0
M001,CNC_Lathe,2025-01-10 19:00:00,91,61.7,2.026,101.72,16.47,1423.5,Healthy,208,0
M001,CNC_Lathe,2025-01-10 20:00:00,92,62.28,2.171,100.6,16.29,1422.6,Healthy,207,0
M001,CNC_Lathe,2025-01-10 21:00:00,93,59.36,1.944,103.45,17.17,1423.0,Healthy,206,0
M001,CNC_Lathe,2025-01-10 22:00:00,94,62.24,2.127,106.01,16.96,1424.8,Healthy,205,0
M001,CNC_Lathe,2025-01-10 23:00:00,95,60.71,1.935,101.7,16.21,1405.4,Healthy,204,0
M001,CNC_Lathe,2025-01-11 00:00:00,96,61.02,1.988,103.93,16.87,1426.6,Healthy,203,0
M001,CNC_Lathe,2025-01-11 01:00:00,97,63.14,2.103,100.1,17.13,1434.8,Healthy,202,0
M001,CNC_Lathe,2025-01-11 02:00:00,98,60.63,2.077,100.08,15.96,1440.7,Healthy,201,0
M001,CNC_Lathe,2025-01-11 03:00:00,99,63.57,1.956,102.24,16.26,1419.5,Healthy,200,0
M001,CNC_Lathe,2025-01-11 04:00:00,100,61.07,2.009,101.47,16.18,1430.8,Healthy,199,0
M001,CNC_Lathe,2025-01-11 05:00:00,101,61.61,2.072,100.03,16.29,1438.1,Healthy,198,0
M001,CNC_Lathe,2025-01-11 06:00:00,102,62.17,1.998,101.54,16.82,1401.7,Healthy,197,0
M001,CNC_Lathe,2025-01-11 07:00:00,103,62.21,2.029,102.25,16.21,1399.7,Healthy,196,0
M001,CNC_Lathe,2025-01-11 08:00:00,104,60.04,2.1,101.78,16.15,1436.3,Healthy,195,0
M001,CNC_Lathe,2025-01-11 09:00:00,105,60.0,2.089,99.58,16.26,1427.5,Healthy,194,0
M001,CNC_Lathe,2025-01-11 10:00:00,106,60.8,2.057,102.9,16.29,1439.3,Healthy,193,0
M001,CNC_Lathe,2025-01-11 11:00:00,107,60.53,2.149,103.56,15.53,1414.8,Healthy,192,0
M001,CNC_Lathe,2025-01-11 12:00:00,108,62.24,2.075,101.95,16.27,1428.1,Healthy,191,0
M001,CNC_Lathe,2025-01-11 13:00:00,109,61.51,2.212,101.78,16.65,1420.6,Healthy,190,0
M001,CNC_Lathe,2025-01-11 14:00:00,110,61.18,2.052,101.99,16.35,1431.1,Healthy,189,0
M001,CNC_Lathe,2025-01-11 15:00:00,111,63.74,2.183,100.91,17.0,1420.6,Healthy,188,0
M001,CNC_Lathe,2025-01-11 16:00:00,112,59.63,1.995,98.59,16.38,1427.0,Healthy,187,0
M001,CNC_Lathe,2025-01-11 17:00:00,113,63.34,2.128,101.07,16.85,1393.6,Healthy,186,0
M001,CNC_Lathe,2025-01-11 18:00:00,114,61.9,2.173,99.18,16.97,1431.8,Healthy,185,0
M001,CNC_Lathe,2025-01-11 19:00:00,115,61.25,2.159,104.8,16.59,1430.5,Healthy,184,0
M001,CNC_Lathe,2025-01-11 20:00:00,116,61.2,2.011,102.64,16.17,1427.8,Healthy,183,0
M001,CNC_Lathe,2025-01-11 21:00:00,117,61.19,2.144,101.9,16.93,1419.1,Healthy,182,0
M001,CNC_Lathe,2025-01-11 22:00:00,118,61.39,1.998,100.73,16.67,1438.1,Healthy,181,0
M001,CNC_Lathe,2025-01-11 23:00:00,119,60.74,2.183,103.43,16.68,1454.9,Healthy,180,0
M001,CNC_Lathe,2025-01-12 00:00:00,120,60.89,1.971,98.73,17.11,1436.6,Healthy,179,0
M001,CNC_Lathe,2025-01-12 01:00:00,121,61.61,2.124,99.71,17.49,1428.7,Healthy,178,0
M001,CNC_Lathe,2025-01-12 02:00:00,122,61.77,2.168,102.12,16.61,1414.9,Healthy,177,0
M001,CNC_Lathe,2025-01-12 03:00:00,123,62.14,2.284,103.41,17.15,1419.1,Healthy,176,0
M001,CNC_Lathe,2025-01-12 04:00:00,124,60.67,2.083,101.48,16.95,1401.4,Healthy,175,0
M001,CNC_Lathe,2025-01-12 05:00:00,125,63.19,2.08,100.75,16.11,1401.9,Healthy,174,0
M001,CNC_Lathe,2025-01-12 06:00:00,126,62.49,2.103,99.46,16.0,1421.7,Healthy,173,0
M001,CNC_Lathe,2025-01-12 07:00:00,127,63.33,2.07,99.14,16.42,1422.7,Healthy,172,0
M001,CNC_Lathe,2025-01-12 08:00:00,128,58.97,2.09,101.05,16.79,1454.5,Healthy,171,0
M001,CNC_Lathe,2025-01-12 09:00:00,129,62.79,2.069,99.74,17.55,1427.7,Healthy,170,0
M001,CNC_Lathe,2025-01-12 10:00:00,130,61.68,2.093,101.69,16.46,1418.2,Healthy,169,0
M001,CNC_Lathe,2025-01-12 11:00:00,131,61.12,2.092,100.58,16.23,1428.4,Healthy,168,0
M001,CNC_Lathe,2025-01-12 12:00:00,132,61.41,2.246,97.42,16.95,1445.5,Healthy,167,0
M001,CNC_Lathe,2025-01-12 13:00:00,133,59.59,2.061,100.84,15.95,1415.1,Healthy,166,0
M001,CNC_Lathe,2025-01-12 14:00:00,134,60.55,2.271,102.8,17.02,1437.6,Healthy,165,0
M001,CNC_Lathe,2025-01-12 15:00:00,135,60.54,2.043,102.13,16.03,1437.5,Healthy,164,0
M001,CNC_Lathe,2025-01-12 16:00:00,136,61.42,2.058,102.46,16.69,1421.4,Healthy,163,0
M001,CNC_Lathe,2025-01-12 17:00:00,137,62.82,1.988,102.32,16.75,1422.1,Healthy,162,0
M001,CNC_Lathe,2025-01-12 18:00:00,138,61.99,1.971,102.78,16.44,1418.9,Healthy,161,0
M001,CNC_Lathe,2025-01-12 19:00:00,139,62.71,2.025,99.28,15.89,1435.9,Healthy,160,0
M001,CNC_Lathe,2025-01-12 20:00:00,140,60.38,2.271,98.27,17.19,1429.9,Healthy,159,0
M001,CNC_Lathe,2025-01-12 21:00:00,141,61.57,2.041,101.99,16.5,1443.3,Healthy,158,0
M001,CNC_Lathe,2025-01-12 22:00:00,142,61.78,2.111,100.85,16.49,1431.4,Healthy,157,0
M001,CNC_Lathe,2025-01-12 23:00:00,143,59.95,1.961,102.51,16.58,1424.0,Healthy,156,0
M001,CNC_Lathe,2025-01-13 00:00:00,144,61.68,2.13,100.59,16.2,1429.7,Healthy,155,0
M001,CNC_Lathe,2025-01-13 01:00:00,145,60.69,2.136,98.84,16.93,1433.9,Healthy,154,0
M001,CNC_Lathe,2025-01-13 02:00:00,146,61.92,2.194,103.89,16.92,1399.2,Healthy,153,0
M001,CNC_Lathe,2025-01-13 03:00:00,147,60.38,2.033,101.43,16.72,1415.9,Healthy,152,0
M001,CNC_Lathe,2025-01-13 04:00:00,148,61.85,2.02,100.48,15.95,1412.9,Healthy,151,0
M001,CNC_Lathe,2025-01-13 05:00:00,149,60.31,1.998,102.98,16.14,1466.3,Healthy,150,0
M001,CNC_Lathe,2025-01-13 06:00:00,150,62.16,2.114,100.11,16.8,1418.1,Healthy,149,0
M001,CNC_Lathe,2025-01-13 07:00:00,151,61.79,2.352,101.25,16.98,1416.2,Healthy,148,0
M001,CNC_Lathe,2025-01-13 08:00:00,152,61.63,2.273,100.45,17.24,1437.4,Healthy,147,0
M001,CNC_Lathe,2025-01-13 09:00:00,153,61.1,2.159,102.85,16.76,1403.2,Healthy,146,0
M001,CNC_Lathe,2025-01-13 10:00:00,154,60.94,2.071,101.28,16.76,1429.4,Healthy,145,0
M001,CNC_Lathe,2025-01-13 11:00:00,155,60.33,2.134,102.31,16.74,1443.0,Healthy,144,0
M001,CNC_Lathe,2025-01-13 12:00:00,156,62.5,2.142,101.29,15.85,1433.2,Healthy,143,0
M001,CNC_Lathe,2025-01-13 13:00:00,157,61.87,2.123,99.48,16.08,1442.6,Healthy,142,0
M001,CNC_Lathe,2025-01-13 14:00:00,158,61.62,2.164,101.44,16.53,1440.8,Healthy,141,0
M001,CNC_Lathe,2025-01-13 15:00:00,159,61.15,2.105,100.7,16.34,1422.1,Healthy,140,0
M001,CNC_Lathe,2025-01-13 16:00:00,160,61.89,2.048,103.28,16.16,1424.0,Healthy,139,0
M001,CNC_Lathe,2025-01-13 17:00:00,161,61.22,2.24,101.69,16.93,1404.5,Healthy,138,0
M001,CNC_Lathe,2025-01-13 18:00:00,162,61.93,2.185,101.52,16.94,1419.0,Healthy,137,0
M001,CNC_Lathe,2025-01-13 19:00:00,163,63.07,2.326,100.85,16.34,1448.6,Healthy,136,0
M001,CNC_Lathe,2025-01-13 20:00:00,164,63.24,2.043,100.76,16.4,1406.6,Healthy,135,0
M001,CNC_Lathe,2025-01-13 21:00:00,165,60.75,1.995,100.24,16.5,1430.3,Healthy,134,0
M001,CNC_Lathe,2025-01-13 22:00:00,166,63.21,1.996,102.87,16.43,1426.0,Healthy,133,0
M001,CNC_Lathe,2025-01-13 23:00:00,167,62.34,1.983,101.97,16.58,1434.2,Healthy,132,0
M001,CNC_Lathe,2025-01-14 00:00:00,168,61.95,2.341,100.44,16.3,1417.4,Healthy,131,0
M001,CNC_Lathe,2025-01-14 01:00:00,169,61.11,2.032,103.18,17.08,1418.2,Healthy,130,0
M001,CNC_Lathe,2025-01-14 02:00:00,170,60.83,2.143,100.57,16.77,1429.8,Healthy,129,0
M001,CNC_Lathe,2025-01-14 03:00:00,171,60.15,2.25,104.09,16.27,1420.9,Healthy,128,0
M001,CNC_Lathe,2025-01-14 04:00:00,172,61.95,2.129,102.38,17.32,1424.1,Healthy,127,0
M001,CNC_Lathe,2025-01-14 05:00:00,173,60.87,1.958,100.3,16.5,1453.7,Healthy,126,0
M001,CNC_Lathe,2025-01-14 06:00:00,174,61.15,2.118,101.37,16.99,1464.7,Healthy,125,0
M001,CNC_Lathe,2025-01-14 07:00:00,175,61.03,2.198,104.17,16.81,1448.9,Warning,124,0
M001,CNC_Lathe,2025-01-14 08:00:00,176,62.84,2.207,103.34,16.88,1422.3,Warning,123,0
M001,CNC_Lathe,2025-01-14 09:00:00,177,62.14,2.223,100.54,16.7,1425.7,Warning,122,0
M001,CNC_Lathe,2025-01-14 10:00:00,178,62.86,2.53,101.51,17.47,1436.4,Warning,121,0
M001,CNC_Lathe,2025-01-14 11:00:00,179,62.41,2.186,101.29,16.78,1409.4,Warning,120,0
M001,CNC_Lathe,2025-01-14 12:00:00,180,61.85,2.334,103.33,16.73,1393.3,Warning,119,0
M001,CNC_Lathe,2025-01-14 13:00:00,181,59.83,2.165,101.94,16.17,1437.1,Warning,118,0
M001,CNC_Lathe,2025-01-14 14:00:00,182,63.38,2.298,98.25,16.56,1415.8,Warning,117,0
M001,CNC_Lathe,2025-01-14 15:00:00,183,63.19,2.106,102.47,17.04,1427.3,Warning,116,0
M001,CNC_Lathe,2025-01-14 16:00:00,184,64.14,2.532,100.95,17.33,1405.0,Warning,115,0
M001,CNC_Lathe,2025-01-14 17:00:00,185,65.2,2.436,99.39,16.81,1382.5,Warning,114,0
M001,CNC_Lathe,2025-01-14 18:00:00,186,62.52,2.105,101.48,17.29,1400.1,Warning,113,0
M001,CNC_Lathe,2025-01-14 19:00:00,187,63.29,2.576,98.21,17.0,1417.3,Warning,112,0
M001,CNC_Lathe,2025-01-14 20:00:00,188,63.48,2.315,98.78,16.97,1401.9,Warning,111,0
M001,CNC_Lathe,2025-01-14 21:00:00,189,64.23,2.668,101.62,17.31,1399.2,Warning,110,0
M001,CNC_Lathe,2025-01-14 22:00:00,190,65.61,2.636,101.37,17.26,1446.4,Warning,109,0
M001,CNC_Lathe,2025-01-14 23:00:00,191,63.94,2.401,98.48,17.38,1399.0,Warning,108,0
M001,CNC_Lathe,2025-01-15 00:00:00,192,66.48,2.635,98.99,17.21,1404.1,Warning,107,0
M001,CNC_Lathe,2025-01-15 01:00:00,193,63.1,2.67,101.9,17.37,1431.6,Warning,106,0
M001,CNC_Lathe,2025-01-15 02:00:00,194,66.37,2.826,100.32,16.76,1441.8,Warning,105,0
M001,CNC_Lathe,2025-01-15 03:00:00,195,66.92,2.696,99.94,17.26,1434.5,Warning,104,0
M001,CNC_Lathe,2025-01-15 04:00:00,196,66.61,2.298,98.35,17.13,1384.3,Warning,103,0
M001,CNC_Lathe,2025-01-15 05:00:00,197,67.09,2.667,100.0,17.3,1382.7,Warning,102,0
M001,CNC_Lathe,2025-01-15 06:00:00,198,64.12,2.817,97.97,17.1,1395.9,Warning,101,0
M001,CNC_Lathe,2025-01-15 07:00:00,199,68.69,3.143,99.5,17.32,1403.3,Warning,100,0
M001,CNC_Lathe,2025-01-15 08:00:00,200,67.46,2.816,99.94,17.77,1445.1,Warning,99,0
M001,CNC_Lathe,2025-01-15 09:00:00,201,64.93,2.903,97.4,17.47,1435.5,Warning,98,0
M001,CNC_Lathe,2025-01-15 10:00:00,202,66.36,3.235,101.63,17.93,1422.8,Warning,97,0
M001,CNC_Lathe,2025-01-15 11:00:00,203,66.96,3.316,97.23,17.83,1401.5,Warning,96,0
M001,CNC_Lathe,2025-01-15 12:00:00,204,68.94,3.276,100.08,17.4,1389.6,Warning,95,0
M001,CNC_Lathe,2025-01-15 13:00:00,205,68.92,2.854,98.37,18.55,1383.9,Warning,94,0
M001,CNC_Lathe,2025-01-15 14:00:00,206,65.77,2.761,101.21,18.49,1418.3,Warning,93,0
M001,CNC_Lathe,2025-01-15 15:00:00,207,66.49,2.909,95.15,18.65,1402.7,Warning,92,0
M001,CNC_Lathe,2025-01-15 16:00:00,208,68.48,3.066,95.63,17.83,1380.9,Warning,91,0
M001,CNC_Lathe,2025-01-15 17:00:00,209,66.65,3.352,94.73,17.35,1396.9,Warning,90,0
M001,CNC_Lathe,2025-01-15 18:00:00,210,67.95,3.143,95.94,18.68,1399.1,Warning,89,0
M001,CNC_Lathe,2025-01-15 19:00:00,211,67.78,3.353,97.4,18.1,1377.9,Warning,88,0
M001,CNC_Lathe,2025-01-15 20:00:00,212,65.87,3.353,97.31,18.93,1384.2,Warning,87,0
M001,CNC_Lathe,2025-01-15 21:00:00,213,70.63,3.213,98.42,17.85,1386.3,Warning,86,0
M001,CNC_Lathe,2025-01-15 22:00:00,214,67.43,3.208,95.79,19.0,1397.2,Warning,85,0
M001,CNC_Lathe,2025-01-15 23:00:00,215,69.34,3.027,96.06,18.17,1384.0,Warning,84,0
M001,CNC_Lathe,2025-01-16 00:00:00,216,69.55,3.436,93.38,18.36,1418.3,Warning,83,0
M001,CNC_Lathe,2025-01-16 01:00:00,217,68.82,3.236,97.65,18.66,1369.1,Warning,82,0
M001,CNC_Lathe,2025-01-16 02:00:00,218,67.55,3.783,94.08,18.78,1400.8,Warning,81,0
M001,CNC_Lathe,2025-01-16 03:00:00,219,69.01,3.632,97.02,19.17,1416.6,Warning,80,0
M001,CNC_Lathe,2025-01-16 04:00:00,220,67.26,3.048,92.29,18.65,1394.1,Warning,79,0
M001,CNC_Lathe,2025-01-16 05:00:00,221,73.63,3.59,96.41,19.11,1383.0,Warning,78,0
M001,CNC_Lathe,2025-01-16 06:00:00,222,68.29,3.251,95.54,18.76,1374.1,Warning,77,0
M001,CNC_Lathe,2025-01-16 07:00:00,223,70.8,3.851,94.32,17.93,1391.4,Warning,76,0
M001,CNC_Lathe,2025-01-16 08:00:00,224,68.19,4.124,96.17,17.63,1368.0,Warning,75,0
M001,CNC_Lathe,2025-01-16 09:00:00,225,70.93,3.798,99.41,19.41,1360.0,Warning,74,0
M001,CNC_Lathe,2025-01-16 10:00:00,226,68.08,3.854,97.32,19.17,1395.1,Warning,73,0
M001,CNC_Lathe,2025-01-16 11:00:00,227,68.38,3.506,95.63,18.98,1385.8,Warning,72,0
M001,CNC_Lathe,2025-01-16 12:00:00,228,67.43,3.006,95.41,19.11,1385.8,Warning,71,0
M001,CNC_Lathe,2025-01-16 13:00:00,229,69.37,4.059,96.46,18.67,1351.8,Warning,70,0
M001,CNC_Lathe,2025-01-16 14:00:00,230,68.78,3.592,93.17,19.73,1391.3,Warning,69,0
M001,CNC_Lathe,2025-01-16 15:00:00,231,68.03,4.589,93.59,20.19,1419.8,Warning,68,0
M001,CNC_Lathe,2025-01-16 16:00:00,232,71.49,3.844,93.75,18.55,1362.7,Warning,67,0
M001,CNC_Lathe,2025-01-16 17:00:00,233,69.15,4.067,96.87,19.12,1395.0,Warning,66,0
M001,CNC_Lathe,2025-01-16 18:00:00,234,70.1,4.004,94.7,19.17,1372.0,Warning,65,0
M001,CNC_Lathe,2025-01-16 19:00:00,235,71.72,4.388,94.15,20.09,1370.7,Warning,64,0
M001,CNC_Lathe,2025-01-16 20:00:00,236,71.83,4.359,94.02,18.15,1361.9,Warning,63,0
M001,CNC_Lathe,2025-01-16 21:00:00,237,73.27,4.371,92.08,19.7,1366.0,Warning,62,0
M001,CNC_Lathe,2025-01-16 22:00:00,238,72.21,4.519,93.92,19.4,1360.8,Warning,61,0
M001,CNC_Lathe,2025-01-16 23:00:00,239,72.85,4.05,93.24,19.54,1426.8,Warning,60,0
M001,CNC_Lathe,2025-01-17 00:00:00,240,73.39,4.393,92.75,18.02,1371.6,Warning,59,0
M001,CNC_Lathe,2025-01-17 01:00:00,241,72.89,4.16,94.04,19.54,1351.3,Warning,58,0
M001,CNC_Lathe,2025-01-17 02:00:00,242,68.86,4.849,93.07,18.95,1384.9,Warning,57,0
M001,CNC_Lathe,2025-01-17 03:00:00,243,74.27,4.179,90.22,17.95,1377.7,Warning,56,0
M001,CNC_Lathe,2025-01-17 04:00:00,244,69.87,4.864,97.86,20.68,1379.2,Warning,55,0
